cuDNN Version,CUDA Version
"Download cuDNN v8.9.7   (December 5th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.7   (December 5th, 2023), ", CUDA 11.x
"Download cuDNN v8.9.6   (November 1st, 2023), ", CUDA 12.x
"Download cuDNN v8.9.6   (November 1st, 2023), ", CUDA 11.x
"Download cuDNN v8.9.5   (October 27th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.5   (October 27th, 2023), ", CUDA 11.x
"Download cuDNN v8.9.4   (August 8th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.4   (August 8th, 2023), ", CUDA 11.x
"Download cuDNN v8.9.3   (July 11th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.3   (July 11th, 2023), ", CUDA 11.x
"Download cuDNN v8.9.2   (June 1st, 2023), ", CUDA 12.x
"Download cuDNN v8.9.2   (June 1st, 2023), ", CUDA 11.x
"Download cuDNN v8.9.1   (May 5th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.1   (May 5th, 2023), ", CUDA 11.x
"Download cuDNN v8.9.0   (April 11th, 2023), ", CUDA 12.x
"Download cuDNN v8.9.0   (April 11th, 2023), ", CUDA 11.x
"Download cuDNN v8.8.1   (March 8th, 2023), ", CUDA 12.x
"Download cuDNN v8.8.1   (March 8th, 2023), ", CUDA 11.x
"Download cuDNN v8.8.0   (February 7th, 2023), ", CUDA 12.0
"Download cuDNN v8.8.0   (February 7th, 2023), ", CUDA 11.x
"Download cuDNN v8.7.0   (November 28th, 2022), ", CUDA 11.x
"Download cuDNN v8.7.0   (November 28th, 2022), ", CUDA 10.2
"Download cuDNN v8.6.0   (October 3rd, 2022), ", CUDA 11.x
"Download cuDNN v8.6.0   (October 3rd, 2022), ", CUDA 10.2
"Download cuDNN v8.5.0   (August 8th, 2022), ", CUDA 11.x
"Download cuDNN v8.5.0   (August 8th, 2022), ", CUDA 10.2
"Download cuDNN v8.4.1   (May 27th, 2022), ", CUDA 11.x
"Download cuDNN v8.4.1   (May 27th, 2022), ", CUDA 10.2
"Download cuDNN v8.4.0   (April 1st, 2022), ", CUDA 11.x
"Download cuDNN v8.4.0   (April 1st, 2022), ", CUDA 10.2
"Download cuDNN v8.3.3   (March 18th, 2022), ", CUDA 11.5
"Download cuDNN v8.3.3   (March 18th, 2022), ", CUDA 10.2
"Download cuDNN v8.3.2   (January 10th, 2022), ", CUDA 11.5
"Download cuDNN v8.3.2   (January 10th, 2022), ", CUDA 10.2
"Download cuDNN v8.3.1   (November 22nd, 2021), ", CUDA 11.5
"Download cuDNN v8.3.1   (November 22nd, 2021), ", CUDA 10.2
"Download cuDNN v8.3.0   (November 3rd, 2021), ", CUDA 11.5
"Download cuDNN v8.3.0   (November 3rd, 2021), ", CUDA 10.2
"Download cuDNN v8.2.4   (September 2nd, 2021), ", CUDA 11.4
